student_id,first_name,last_name,date_of_birth,grade_level,school_id,classroom_id,enrollment_date,status
90d5765f-6bfe-42cf-a1e2-a6a3ec8b0f09,Daniel,Miller,2020-09-17,5,7ec49931-9e42-4f30-8490-b24bceee7862,d66c0993-dc16-4362-80c5-e302db3c8561,2025-01-11,active
46c92b0b-336e-450c-9975-ad378b7d9c05,Sophia,Rodriguez,2015-10-04,4,549a30d9-553b-4506-a689-172079c7116b,d486f985-1991-49b9-9f88-7254c483cd6a,2024-10-07,active
44c0c27c-bf7e-4630-b0a6-cb5209d5afe4,Abigail,Miller,2015-06-25,6,8b902c90-6686-47cd-ad47-fa5721327dd2,f76be8e1-e7b5-401b-8be6-b7bc6252b526,2026-02-16,active
17463083-6caa-40be-891c-8fe5e7946423,Gianna,Smith,2015-02-18,5,409978d4-7def-4d4b-83ce-75fa2a3bff94,cc51c600-e555-4182-8f6d-2c0d861c58cd,2025-01-27,active
f0370bb9-bf98-4900-97da-e3002ab8390b,Layla,King,2021-06-22,5,93872cf9-e8d8-49c1-b44a-bcb8d09e69b7,02323a0b-3b20-49a1-8da0-ddcd2066307d,2024-08-13,active
14c9e74b-f1a8-4d4c-9597-4f66ed00f49d,Mason,Moore,2021-01-23,5,7ec49931-9e42-4f30-8490-b24bceee7862,d66c0993-dc16-4362-80c5-e302db3c8561,2024-10-05,active
9cb721b1-9588-46c8-80cd-54892a34204c,Abigail,Martin,2020-08-25,K,636b8ce6-96c0-452b-ab0a-e739dcb68a8c,183330c5-a735-4902-b602-180fbf5592f2,2024-10-20,active
9da1fcb6-cf93-4395-81f6-f658c242dd0a,Grace,Green,2017-11-28,3,7ec49931-9e42-4f30-8490-b24bceee7862,9ae5dbcf-36a1-4499-82a1-27c92827800c,2024-08-21,active
61b3d417-a422-4687-9fbd-e7bc181840b8,Mason,Smith,2016-02-11,6,8b4d8304-db30-440d-9d10-d462d5332003,3f04d2f0-9e4d-4fed-832e-f4f030c2dd2c,2024-01-06,inactive
f5ed61f7-6990-4fb7-8e43-a57dd191c549,Ella,Perez,2013-09-24,2,a19de5b5-7532-4976-b51c-f1e4d45c4761,0220a550-4a80-435e-ba3e-24c62f1267b3,2025-02-06,active
e8884098-b6d2-4a79-84c0-06bc20dc470d,Aria,Lee,2018-10-23,6,36e20eff-d78a-49dd-aa53-f1238ee345c0,ed22639e-28db-4ef8-a083-75057a6dd6be,2024-05-19,active
4a4e2a7a-ab48-44e9-bd5c-eab32eeeab36,Layla,Thomas,2017-11-07,PreK,3d4b41e3-0641-4c4d-90cc-150d0b9cc0f9,0f91c596-b33d-4197-911f-b291b1ebc696,2026-01-03,active
6d0f7cbf-dd7d-4417-9751-754e47ae9211,Layla,Gonzalez,2016-10-01,PreK,549a30d9-553b-4506-a689-172079c7116b,5ab6ed1a-3a4f-4913-80c1-9a6b3c9188fb,2023-11-23,active
